"epoch","mobilenet_Task Activation Function_4,5,6,7,8,9,10_Wednesday_19_March_2025_01h_08m_01s - _step","mobilenet_Task Activation Function_4,5,6,7,8,9,10_Wednesday_19_March_2025_01h_08m_01s - _step__MIN","mobilenet_Task Activation Function_4,5,6,7,8,9,10_Wednesday_19_March_2025_01h_08m_01s - _step__MAX","mobilenet_Task Activation Function_4,5,6,7,8,9,10_Wednesday_19_March_2025_01h_08m_01s - Train/weight_grad_norm","mobilenet_Task Activation Function_4,5,6,7,8,9,10_Wednesday_19_March_2025_01h_08m_01s - Train/weight_grad_norm__MIN","mobilenet_Task Activation Function_4,5,6,7,8,9,10_Wednesday_19_March_2025_01h_08m_01s - Train/weight_grad_norm__MAX","mobilenet_Task Activation Function_all relu_Wednesday_19_March_2025_01h_06m_55s - _step","mobilenet_Task Activation Function_all relu_Wednesday_19_March_2025_01h_06m_55s - _step__MIN","mobilenet_Task Activation Function_all relu_Wednesday_19_March_2025_01h_06m_55s - _step__MAX","mobilenet_Task Activation Function_all relu_Wednesday_19_March_2025_01h_06m_55s - Train/weight_grad_norm","mobilenet_Task Activation Function_all relu_Wednesday_19_March_2025_01h_06m_55s - Train/weight_grad_norm__MIN","mobilenet_Task Activation Function_all relu_Wednesday_19_March_2025_01h_06m_55s - Train/weight_grad_norm__MAX"
"95","59140.09090909091","58869","59449","0.25900475455052924","0.2175644338130951","0.32012709975242615","59184.125","58863","59455","0.3006813074462116","0.24892659485340118","0.3407832682132721"
"96","59765.9375","59471","60077","0.26200487837195396","0.20322175323963165","0.30719032883644104","59750.71428571428","59477","60063","0.28573684323401677","0.22090590000152588","0.36875563859939575"
"97","60377.820512820515","60137","60719","0.25716309555065936","0.22030068933963776","0.3086051940917969","60389.10256410256","60107","60719","0.2963731029094794","0.24319887161254883","0.34116727113723755"
"98","61076","60747","61337","0.2646911113212506","0.22912029922008514","0.3616235554218292","61072.63157894737","60749","61341","0.295135408247772","0.2448062002658844","0.35682305693626404"
"99","61614.58620689655","61351","61941","0.26381108575853807","0.22101753950119019","0.29854971170425415","61639.48","61351","61953","0.29467430233955383","0.2528434991836548","0.3407622277736664"
"100","62269.260869565216","61981","62585","0.2611798190552255","0.21745124459266663","0.352772980928421","62285.06896551724","61987","62567","0.30105058180874794","0.25649625062942505","0.33246496319770813"
"101","62934.67441860465","62639","63197","0.26628581936969314","0.2090943306684494","0.3096671402454376","62906.71428571428","62613","63217","0.30394022237686885","0.26739969849586487","0.3620022237300873"
"102","63579.529411764706","63235","63843","0.26210132679518533","0.21964971721172333","0.3286955952644348","63558.470588235294","63265","63845","0.30292580232900734","0.24132779240608215","0.35193538665771484"
"103","64146.3023255814","63863","64475","0.2587116488883662","0.20717008411884308","0.338178426027298","64184.032258064515","63883","64467","0.3009610930758138","0.24371398985385895","0.36718201637268066"
"104","64767.181818181816","64491","65069","0.2663196481086991","0.2267252504825592","0.3198528587818146","64788.03703703704","64503","65099","0.30872712311921297","0.25506260991096497","0.3635329604148865"
"105","65404.5","65113","65699","0.2683568307095104","0.21257628500461578","0.33445045351982117","65461.666666666664","65125","65721","0.3062376293043296","0.23521839082241058","0.35543856024742126"
"106","66034.75757575757","65737","66345","0.2594478563828902","0.20503927767276764","0.31030523777008057","66105","65773","66343","0.30144969660502213","0.2533623278141022","0.36698031425476074"
"107","66712.07692307692","66371","66963","0.2694925625736897","0.21928687393665314","0.3124812841415405","66677.8","66359","66957","0.3023535052935282","0.2605751156806946","0.34790346026420593"
"108","67270.94594594595","66989","67563","0.26552853471524007","0.23193703591823578","0.304042249917984","67280.37931034483","66989","67595","0.3052992933783038","0.23723584413528442","0.3521873354911804"
"109","67977.61111111111","67629","68221","0.26442404256926644","0.21845482289791107","0.35090893507003784","67903.375","67617","68231","0.30151192471385","0.23034784197807312","0.3713126480579376"
"110","68539.26315789473","68235","68853","0.2627527196156351","0.22396159172058105","0.3310522735118866","68549.38888888889","68255","68853","0.30232275525728863","0.25276118516921997","0.3659634292125702"
"111","69180.25","68877","69473","0.2663996620103717","0.2115146666765213","0.3300042748451233","69185","68885","69481","0.3041003531423108","0.26620617508888245","0.3375545144081116"
"112","69764.33333333333","69495","70005","0.2665459800649572","0.1980288326740265","0.3369064927101135","69754.88571428572","69487","70081","0.301118152482169","0.2599766254425049","0.34384775161743164"
"113","70365","70115","70721","0.2641534373164177","0.21229802072048187","0.32073774933815","70420.93548387097","70113","70733","0.3086186810847252","0.25909164547920227","0.3825446367263794"
"114","71064.86046511628","70739","71353","0.2658053646947062","0.2093609869480133","0.3472520112991333","70997.9375","70753","71359","0.30290876096114516","0.24696530401706696","0.35809528827667236"
"115","71665","71377","71981","0.2672952964074082","0.2200440615415573","0.3286351263523102","71629.76470588235","71385","71969","0.3053576420335209","0.2615286409854889","0.3488726317882538"
"116","72294.38461538461","71993","72601","0.268770959514838","0.21511158347129822","0.3374485373497009","72281.24242424243","72013","72561","0.31125619917204883","0.2442135512828827","0.3487934172153473"
"117","72916.35135135135","72643","73211","0.271712741336307","0.19985005259513855","0.3344886004924774","72974.4705882353","72657","73235","0.30240578072912555","0.26059478521347046","0.3623393177986145"
