"epoch","mobilenet_Task Weight_Decay_0.0005_Wednesday_19_March_2025_23h_20m_05s - _step","mobilenet_Task Weight_Decay_0.0005_Wednesday_19_March_2025_23h_20m_05s - _step__MIN","mobilenet_Task Weight_Decay_0.0005_Wednesday_19_March_2025_23h_20m_05s - _step__MAX","mobilenet_Task Weight_Decay_0.0005_Wednesday_19_March_2025_23h_20m_05s - Train/Accuracy","mobilenet_Task Weight_Decay_0.0005_Wednesday_19_March_2025_23h_20m_05s - Train/Accuracy__MIN","mobilenet_Task Weight_Decay_0.0005_Wednesday_19_March_2025_23h_20m_05s - Train/Accuracy__MAX","mobilenet_Task Weight_Decay_0.0001_Wednesday_19_March_2025_23h_20m_00s - _step","mobilenet_Task Weight_Decay_0.0001_Wednesday_19_March_2025_23h_20m_00s - _step__MIN","mobilenet_Task Weight_Decay_0.0001_Wednesday_19_March_2025_23h_20m_00s - _step__MAX","mobilenet_Task Weight_Decay_0.0001_Wednesday_19_March_2025_23h_20m_00s - Train/Accuracy","mobilenet_Task Weight_Decay_0.0001_Wednesday_19_March_2025_23h_20m_00s - Train/Accuracy__MIN","mobilenet_Task Weight_Decay_0.0001_Wednesday_19_March_2025_23h_20m_00s - Train/Accuracy__MAX"
"97","30552","30552","30552","0.6990749835968018","0.6990749835968018","0.6990749835968018","30552","30552","30552","0.9576499462127686","0.9576499462127686","0.9576499462127686"
"98","30867","30867","30867","0.7024750113487244","0.7024750113487244","0.7024750113487244","30867","30867","30867","0.9544749855995178","0.9544749855995178","0.9544749855995178"
"99","31182","31182","31182","0.7045249938964844","0.7045249938964844","0.7045249938964844","31182","31182","31182","0.9540749788284302","0.9540749788284302","0.9540749788284302"
"100","31497","31497","31497","0.7060749530792236","0.7060749530792236","0.7060749530792236","31497","31497","31497","0.9606249928474426","0.9606249928474426","0.9606249928474426"
"101","31812","31812","31812","0.7091749906539917","0.7091749906539917","0.7091749906539917","31812","31812","31812","0.9659749865531921","0.9659749865531921","0.9659749865531921"
"102","32127","32127","32127","0.7066749930381775","0.7066749930381775","0.7066749930381775","32127","32127","32127","0.9632999897003174","0.9632999897003174","0.9632999897003174"
"103","32442","32442","32442","0.7120999693870544","0.7120999693870544","0.7120999693870544","32442","32442","32442","0.9631499648094177","0.9631499648094177","0.9631499648094177"
"104","32757","32757","32757","0.7154499888420105","0.7154499888420105","0.7154499888420105","32757","32757","32757","0.9606750011444092","0.9606750011444092","0.9606750011444092"
"105","33072","33072","33072","0.7096250057220459","0.7096250057220459","0.7096250057220459","33072","33072","33072","0.9622499942779541","0.9622499942779541","0.9622499942779541"
"106","33387","33387","33387","0.7095249891281128","0.7095249891281128","0.7095249891281128","33387","33387","33387","0.9599249958992004","0.9599249958992004","0.9599249958992004"
"107","33702","33702","33702","0.7137999534606934","0.7137999534606934","0.7137999534606934","33702","33702","33702","0.9659499526023865","0.9659499526023865","0.9659499526023865"
"108","34017","34017","34017","0.7162249684333801","0.7162249684333801","0.7162249684333801","34017","34017","34017","0.9705749750137329","0.9705749750137329","0.9705749750137329"
"109","34332","34332","34332","0.7187249660491943","0.7187249660491943","0.7187249660491943","34332","34332","34332","0.9698749780654907","0.9698749780654907","0.9698749780654907"
"110","34647","34647","34647","0.722000002861023","0.722000002861023","0.722000002861023","34647","34647","34647","0.9669749736785889","0.9669749736785889","0.9669749736785889"
"111","34962","34962","34962","0.7176249623298645","0.7176249623298645","0.7176249623298645","34962","34962","34962","0.9625749588012695","0.9625749588012695","0.9625749588012695"
"112","35277","35277","35277","0.7245000004768372","0.7245000004768372","0.7245000004768372","35277","35277","35277","0.9635249972343445","0.9635249972343445","0.9635249972343445"
"113","35592","35592","35592","0.7254999876022339","0.7254999876022339","0.7254999876022339","35592","35592","35592","0.965149998664856","0.965149998664856","0.965149998664856"
"114","35907","35907","35907","0.7267749905586243","0.7267749905586243","0.7267749905586243","35907","35907","35907","0.9657250046730042","0.9657250046730042","0.9657250046730042"
"115","36222","36222","36222","0.7303499579429626","0.7303499579429626","0.7303499579429626","36222","36222","36222","0.96732497215271","0.96732497215271","0.96732497215271"
"116","36537","36537","36537","0.7288500070571899","0.7288500070571899","0.7288500070571899","36537","36537","36537","0.9665749669075012","0.9665749669075012","0.9665749669075012"
"117","36852","36852","36852","0.7294249534606934","0.7294249534606934","0.7294249534606934","36852","36852","36852","0.9680249691009521","0.9680249691009521","0.9680249691009521"
"118","37167","37167","37167","0.7299000024795532","0.7299000024795532","0.7299000024795532","37167","37167","37167","0.9687999486923218","0.9687999486923218","0.9687999486923218"
"119","37482","37482","37482","0.7342749834060669","0.7342749834060669","0.7342749834060669","37482","37482","37482","0.9687749743461609","0.9687749743461609","0.9687749743461609"
"120","37797","37797","37797","0.7358999848365784","0.7358999848365784","0.7358999848365784","37797","37797","37797","0.971049964427948","0.971049964427948","0.971049964427948"
"121","38112","38112","38112","0.738224983215332","0.738224983215332","0.738224983215332","38112","38112","38112","0.974649965763092","0.974649965763092","0.974649965763092"
"122","38427","38427","38427","0.7404499650001526","0.7404499650001526","0.7404499650001526","38427","38427","38427","0.9756999611854553","0.9756999611854553","0.9756999611854553"
"123","38742","38742","38742","0.7419499754905701","0.7419499754905701","0.7419499754905701","38742","38742","38742","0.9781749844551086","0.9781749844551086","0.9781749844551086"
"124","39057","39057","39057","0.7490249872207642","0.7490249872207642","0.7490249872207642","39057","39057","39057","0.9777249693870544","0.9777249693870544","0.9777249693870544"
"125","39372","39372","39372","0.7442499995231628","0.7442499995231628","0.7442499995231628","39372","39372","39372","0.9787249565124512","0.9787249565124512","0.9787249565124512"
"126","39687","39687","39687","0.7472749948501587","0.7472749948501587","0.7472749948501587","39687","39687","39687","0.9799000024795532","0.9799000024795532","0.9799000024795532"
"127","40002","40002","40002","0.7507749795913696","0.7507749795913696","0.7507749795913696","40002","40002","40002","0.9793750047683716","0.9793750047683716","0.9793750047683716"
"128","40317","40317","40317","0.7515749931335449","0.7515749931335449","0.7515749931335449","40317","40317","40317","0.9808249473571777","0.9808249473571777","0.9808249473571777"
"129","40632","40632","40632","0.754224956035614","0.754224956035614","0.754224956035614","40632","40632","40632","0.9806749820709229","0.9806749820709229","0.9806749820709229"
"130","40947","40947","40947","0.7526499629020691","0.7526499629020691","0.7526499629020691","40947","40947","40947","0.9835249781608582","0.9835249781608582","0.9835249781608582"
"131","41262","41262","41262","0.7549249529838562","0.7549249529838562","0.7549249529838562","41262","41262","41262","0.9826499819755554","0.9826499819755554","0.9826499819755554"
"132","41577","41577","41577","0.7617499828338623","0.7617499828338623","0.7617499828338623","41577","41577","41577","0.984499990940094","0.984499990940094","0.984499990940094"
"133","41892","41892","41892","0.7642999887466431","0.7642999887466431","0.7642999887466431","41892","41892","41892","0.9837999939918518","0.9837999939918518","0.9837999939918518"
"134","42207","42207","42207","0.7669249773025513","0.7669249773025513","0.7669249773025513","42207","42207","42207","0.9854499697685242","0.9854499697685242","0.9854499697685242"
"135","42522","42522","42522","0.7657749652862549","0.7657749652862549","0.7657749652862549","42522","42522","42522","0.9876749515533447","0.9876749515533447","0.9876749515533447"
"136","42837","42837","42837","0.7651499509811401","0.7651499509811401","0.7651499509811401","42837","42837","42837","0.9884499907493591","0.9884499907493591","0.9884499907493591"
