"epoch","mobilenet_Task Scheduler_True_Saturday_15_March_2025_11h_33m_23s - _step","mobilenet_Task Scheduler_True_Saturday_15_March_2025_11h_33m_23s - _step__MIN","mobilenet_Task Scheduler_True_Saturday_15_March_2025_11h_33m_23s - _step__MAX","mobilenet_Task Scheduler_True_Saturday_15_March_2025_11h_33m_23s - learning_rate","mobilenet_Task Scheduler_True_Saturday_15_March_2025_11h_33m_23s - learning_rate__MIN","mobilenet_Task Scheduler_True_Saturday_15_March_2025_11h_33m_23s - learning_rate__MAX"
"266","83523","83523","83523","0.0015679502627027125","0.0015679502627027125","0.0015679502627027125"
"267","83837","83837","83837","0.0014779807761443626","0.0014779807761443626","0.0014779807761443626"
"268","84151","84151","84151","0.0013905907440629741","0.0013905907440629741","0.0013905907440629741"
"269","84465","84465","84465","0.0013057897497603603","0.0013057897497603603","0.0013057897497603603"
"270","84779","84779","84779","0.001223587092621161","0.001223587092621161","0.001223587092621161"
"271","85093","85093","85093","0.0011439917870930787","0.0011439917870930787","0.0011439917870930787"
"272","85407","85407","85407","0.0010670125616983183","0.0010670125616983183","0.0010670125616983183"
"273","85721","85721","85721","0.0009926578580764227","0.0009926578580764227","0.0009926578580764227"
"274","86035","86035","86035","0.0009209358300585469","0.0009209358300585469","0.0009209358300585469"
"275","86349","86349","86349","0.0008518543427732917","0.0008518543427732917","0.0008518543427732917"
"276","86663","86663","86663","0.0007854209717842226","0.0007854209717842226","0.0007854209717842226"
"277","86977","86977","86977","0.0007216430022591004","0.0007216430022591004","0.0007216430022591004"
"278","87291","87291","87291","0.0006605274281709923","0.0006605274281709923","0.0006605274281709923"
"279","87605","87605","87605","0.0006020809515313165","0.0006020809515313165","0.0006020809515313165"
"280","87919","87919","87919","0.0005463099816548601","0.0005463099816548601","0.0005463099816548601"
"281","88233","88233","88233","0.0004932206344569558","0.0004932206344569558","0.0004932206344569558"
"282","88547","88547","88547","0.00044281873178278437","0.00044281873178278437","0.00044281873178278437"
"283","88861","88861","88861","0.0003951098007689526","0.0003951098007689526","0.0003951098007689526"
"284","89175","89175","89175","0.00035009907323737513","0.00035009907323737513","0.00035009907323737513"
"285","89489","89489","89489","0.00030779148512155823","0.00030779148512155823","0.00030779148512155823"
"286","89803","89803","89803","0.0002681916759252914","0.0002681916759252914","0.0002681916759252914"
"287","90117","90117","90117","0.00023130398821390982","0.00023130398821390982","0.00023130398821390982"
"288","90431","90431","90431","0.00019713246713805568","0.00019713246713805568","0.00019713246713805568"
"289","90745","90745","90745","0.0001656808599900887","0.0001656808599900887","0.0001656808599900887"
"290","91059","91059","91059","0.00013695261579316762","0.00013695261579316762","0.00013695261579316762"
"291","91373","91373","91373","0.00011095088492299999","0.00011095088492299999","0.00011095088492299999"
"292","91687","91687","91687","0.00008767851876239065","0.00008767851876239065","0.00008767851876239065"
"293","92001","92001","92001","0.00006713806938854754","0.00006713806938854754","0.00006713806938854754"
"294","92315","92315","92315","0.00004933178929321098","0.00004933178929321098","0.00004933178929321098"
"295","92629","92629","92629","0.00003426163113565414","0.00003426163113565414","0.00003426163113565414"
"296","92943","92943","92943","0.0000219292475285404","0.0000219292475285404","0.0000219292475285404"
"297","93257","93257","93257","0.000012335990856709988","0.000012335990856709988","0.000012335990856709988"
"298","93571","93571","93571","0.000005482913128862505","0.000005482913128862505","0.000005482913128862505"
"299","93885","93885","93885","0.0000013707658621964203","0.0000013707658621964203","0.0000013707658621964203"
"300","94199","94199","94199","0","0","0"
