"epoch","mobilenet_Task Activation_Function_all relu_Thursday_20_March_2025_11h_32m_34s - _step","mobilenet_Task Activation_Function_all relu_Thursday_20_March_2025_11h_32m_34s - _step__MIN","mobilenet_Task Activation_Function_all relu_Thursday_20_March_2025_11h_32m_34s - _step__MAX","mobilenet_Task Activation_Function_all relu_Thursday_20_March_2025_11h_32m_34s - Train/loss","mobilenet_Task Activation_Function_all relu_Thursday_20_March_2025_11h_32m_34s - Train/loss__MIN","mobilenet_Task Activation_Function_all relu_Thursday_20_March_2025_11h_32m_34s - Train/loss__MAX","mobilenet_Task Activation_Function_4,5,6,7,8,9,10_Thursday_20_March_2025_09h_23m_16s - _step","mobilenet_Task Activation_Function_4,5,6,7,8,9,10_Thursday_20_March_2025_09h_23m_16s - _step__MIN","mobilenet_Task Activation_Function_4,5,6,7,8,9,10_Thursday_20_March_2025_09h_23m_16s - _step__MAX","mobilenet_Task Activation_Function_4,5,6,7,8,9,10_Thursday_20_March_2025_09h_23m_16s - Train/loss","mobilenet_Task Activation_Function_4,5,6,7,8,9,10_Thursday_20_March_2025_09h_23m_16s - Train/loss__MIN","mobilenet_Task Activation_Function_4,5,6,7,8,9,10_Thursday_20_March_2025_09h_23m_16s - Train/loss__MAX"
"102","63741.5625","63452","64046","0.9808841198682785","0.7884745001792908","1.304494857788086","63772.10810810811","63444","64050","1.0943600245424219","0.7851327061653137","1.5870434045791626"
"103","64359.56756756757","64068","64676","0.9298753029591328","0.6538605093955994","1.330039143562317","64334.2","64066","64676","1.0614396795630454","0.8170781135559082","1.424368143081665"
"104","64989.31428571429","64702","65290","0.9019953727722168","0.6785933375358582","1.1886234283447266","64973.3","64684","65298","1.0036862045526505","0.7672504782676697","1.4144973754882812"
"105","65610.25","65330","65924","0.9487403735518456","0.6247762441635132","1.3798024654388428","65640.22222222222","65348","65912","1.050309631559584","0.8141056299209595","1.2989869117736816"
"106","66241.29411764706","65940","66550","0.9430462893317727","0.6427841186523438","1.1959654092788696","66242.6","65954","66504","1.0777266442775726","0.8592573404312134","1.3673712015151978"
"107","66916.74074074074","66572","67156","0.9216279431625649","0.6782190799713135","1.1936534643173218","66867.64705882352","66576","67170","1.0537689415847553","0.8747861981391907","1.3643521070480347"
"108","67517.78571428571","67220","67782","0.9264724275895527","0.7069141864776611","1.2017155885696411","67489.1052631579","67196","67776","1.0299983526531018","0.7601197361946106","1.2702611684799194"
"109","68135.64705882352","67848","68440","0.927261075552772","0.6285266876220703","1.3471076488494873","68085.38095238095","67828","68414","1.0272706434840249","0.8150262236595154","1.249279499053955"
"110","68781.2","68480","69020","0.9382097434997558","0.7885136604309082","1.2177687883377075","68741.58823529411","68460","69058","1.034170596038594","0.7583931684494019","1.3208516836166382"
"111","69389.65714285715","69092","69688","0.8936429415430341","0.674331784248352","1.1472158432006836","69445.55555555556","69084","69688","1.037757106953197","0.8213207125663757","1.3055849075317383"
