"epoch","mobilenet_Task Weight_Decay_0.0005_Wednesday_19_March_2025_23h_20m_05s - _step","mobilenet_Task Weight_Decay_0.0005_Wednesday_19_March_2025_23h_20m_05s - _step__MIN","mobilenet_Task Weight_Decay_0.0005_Wednesday_19_March_2025_23h_20m_05s - _step__MAX","mobilenet_Task Weight_Decay_0.0005_Wednesday_19_March_2025_23h_20m_05s - Train/loss","mobilenet_Task Weight_Decay_0.0005_Wednesday_19_March_2025_23h_20m_05s - Train/loss__MIN","mobilenet_Task Weight_Decay_0.0005_Wednesday_19_March_2025_23h_20m_05s - Train/loss__MAX","mobilenet_Task Weight_Decay_0.0001_Wednesday_19_March_2025_23h_20m_00s - _step","mobilenet_Task Weight_Decay_0.0001_Wednesday_19_March_2025_23h_20m_00s - _step__MIN","mobilenet_Task Weight_Decay_0.0001_Wednesday_19_March_2025_23h_20m_00s - _step__MAX","mobilenet_Task Weight_Decay_0.0001_Wednesday_19_March_2025_23h_20m_00s - Train/loss","mobilenet_Task Weight_Decay_0.0001_Wednesday_19_March_2025_23h_20m_00s - Train/loss__MIN","mobilenet_Task Weight_Decay_0.0001_Wednesday_19_March_2025_23h_20m_00s - Train/loss__MAX"
"75","23480.11111111111","23315","23621","1.1153689440753725","0.8155861496925354","1.4243793487548828","23461.46511627907","23323","23619","0.22386020456635675","0.10509273409843445","0.3665149509906769"
"76","23805.909090909092","23636","23930","1.1440411499052336","0.8045465350151062","1.4228540658950806","23792.862068965518","23635","23934","0.22542701969886647","0.11010369658470154","0.37951013445854187"
"77","24092.441176470587","23942","24240","1.101472961552003","0.896226704120636","1.3649020195007324","24094.88888888889","23954","24249","0.20634122827538737","0.11207669973373413","0.32204389572143555"
"78","24392.470588235294","24264","24558","1.0884062840658075","0.6599416732788086","1.3566917181015015","24419.076923076922","24257","24559","0.1913188812442315","0.1059807538986206","0.30600252747535706"
"79","24732.53846153846","24597","24877","1.0605764327905116","0.8739178776741028","1.268296241760254","24736.075","24589","24878","0.18676581420004368","0.1021934300661087","0.25281330943107605"
"80","25039.566666666666","24885","25190","1.1073416968186696","0.7146593332290649","1.4059488773345947","25025.28947368421","24888","25195","0.18626755672065834","0.07182610034942627","0.2715352177619934"
"81","25343.18918918919","25204","25506","1.1011174256737168","0.8683825135231018","1.4664804935455322","25377.10714285714","25202","25507","0.1976138065968241","0.1390448659658432","0.30051958560943604"
"82","25640.38888888889","25515","25825","1.0624506043063269","0.7428680062294006","1.3237361907958984","25666.878787878788","25522","25822","0.1798114562124917","0.09771671891212463","0.29741474986076355"
"83","25981.84375","25840","26117","1.051378132775426","0.7663496732711792","1.3478734493255615","25972.425","25836","26136","0.18224966628476977","0.059644825756549835","0.35137179493904114"
"84","26293.6","26146","26451","1.0988870879014334","0.8664102554321289","1.3523792028427124","26314.225806451614","26151","26454","0.1876939551964883","0.1153290867805481","0.33079609274864197"
"85","26603.451612903227","26460","26759","1.0618126373137198","0.8283772468566895","1.3031082153320312","26617.714285714286","26462","26768","0.16485248974391392","0.09193715453147888","0.2928744852542877"
"86","26922.454545454544","26787","27068","1.0477449650114232","0.8314257860183716","1.3250460624694824","26945.48275862069","26794","27079","0.13939980957014808","0.06526930630207062","0.22511616349220276"
"87","27229.36111111111","27094","27388","1.0251298911041684","0.7962206602096558","1.2734729051589966","27241.325581395347","27093","27391","0.15650737069027368","0.05167693272233009","0.23203693330287933"
"88","27549.78787878788","27406","27708","1.0770029172752842","0.7684270143508911","1.339034914970398","27572.428571428572","27408","27713","0.16445224519286836","0.0733158066868782","0.30105844140052795"
"89","27859.358974358973","27720","28027","1.0412526512757325","0.7819583415985107","1.292281985282898","27884.371428571427","27732","28025","0.1485689373953002","0.06894920021295547","0.26315838098526"
"90","28196.4375","28046","28332","1.044470239430666","0.716926634311676","1.431984543800354","28179.58823529412","28046","28324","0.16898009685032508","0.06271582841873169","0.3037281930446625"
"91","28511.714285714286","28372","28658","1.0196986922195979","0.7239536643028259","1.333162546157837","28494.548387096773","28352","28658","0.1689102303597235","0.09224256873130798","0.3514265716075897"
"92","28811.742857142857","28667","28968","0.997971180507115","0.6761325001716614","1.2971993684768677","28792.945945945947","28666","28957","0.15228400600923075","0.0692780390381813","0.22932150959968567"
"93","29161.5625","29002","29291","1.0190082881599665","0.7919715642929077","1.26388680934906","29141.30769230769","28990","29286","0.1601934797870807","0.08306032419204712","0.334425151348114"
"94","29473.264705882353","29328","29591","1.0303374721723444","0.8185739517211914","1.2344990968704224","29432.303030303032","29308","29596","0.1497594334862449","0.07222805917263031","0.24169379472732544"
"95","29759.2","29621","29908","1.0029095609982808","0.7449411749839783","1.3410365581512451","29781.72","29625","29913","0.1434167255461216","0.04328393563628197","0.26540932059288025"
"96","30062.285714285714","29926","30235","0.9683607731546674","0.699757993221283","1.194833755493164","30080.809523809523","29928","30235","0.13193500130659058","0.0696183443069458","0.26066309213638306"
"97","30385.76","30240","30547","0.9898290634155273","0.7640652060508728","1.295117974281311","30399.11111111111","30241","30550","0.13659260615154548","0.07005957514047623","0.2380572259426117"
"98","30707.973684210527","30569","30862","0.9925861860576429","0.7605798840522766","1.2460577487945557","30715.84375","30583","30857","0.13482216198462993","0.04596434161067009","0.30045121908187866"
"99","31018.78787878788","30873","31181","0.9699875585960619","0.7955524921417236","1.3189470767974854","31010.848484848484","30871","31179","0.13211531101754218","0.041997864842414856","0.20795223116874695"
"100","31345.433333333334","31187","31482","0.9840404848257701","0.7441269159317017","1.2094509601593018","31361.969696969696","31185","31490","0.14017746913613696","0.06295115500688553","0.24842123687267303"
"101","31654.777777777777","31516","31785","0.9166913937639307","0.7172272801399231","1.110751986503601","31681.82857142857","31518","31804","0.11379004386918885","0.05286306142807007","0.17969349026679993"
"102","31993.666666666668","31845","32119","0.9734875882665316","0.7661207914352417","1.2013843059539795","31955.708333333332","31833","32106","0.11820188661416371","0.07457734644412994","0.19105784595012665"
"103","32274.333333333332","32131","32421","0.9617245097955068","0.7329314947128296","1.1925716400146484","32283.823529411766","32150","32418","0.11404430033529506","0.06321852654218674","0.19578547775745392"
"104","32602.83870967742","32446","32756","0.9504691131653324","0.6853151917457581","1.2459945678710938","32600.6","32460","32742","0.1284686003625393","0.04414280131459236","0.2024887502193451"
"105","32873.54285714286","32761","33056","0.9302171673093523","0.7321297526359558","1.177283763885498","32911.30303030303","32779","33059","0.12337215572144046","0.061225805431604385","0.2183123677968979"
"106","33213.875","33076","33381","0.950239384174347","0.731259822845459","1.2020485401153564","33222.294117647056","33080","33381","0.12641661296434262","0.058147091418504715","0.258073627948761"
"107","33569.68421052631","33405","33699","0.948404461145401","0.7103189826011658","1.1367520093917847","33540.514285714286","33408","33700","0.09944313849721637","0.044151920825242996","0.19110816717147827"
"108","33850.805555555555","33710","33977","0.9309587958786223","0.7100650072097778","1.2233169078826904","33870.76470588235","33720","34016","0.0919246402952601","0.05326474830508232","0.1768771857023239"
"109","34180.65714285714","34031","34316","0.8990122999463762","0.6760736703872681","1.3284790515899658","34193.77272727273","34027","34329","0.09417669229548085","0.034397635608911514","0.16575510799884796"
"110","34511.53125","34345","34644","0.8913527298718691","0.6886633038520813","1.1563270092010498","34458.565217391304","34341","34622","0.10937178993354672","0.05821999907493591","0.20394745469093323"
"111","34813.10810810811","34651","34957","0.9680255587036545","0.6801823973655701","1.2022950649261475","34796.74074074074","34650","34922","0.10716992589058699","0.031138159334659576","0.22702232003211975"
"112","35128.54838709677","34967","35265","0.9196977884538712","0.6475846767425537","1.170025110244751","35105.7027027027","34967","35275","0.1054817809647805","0.03920026868581772","0.17179711163043976"
"113","35415.416666666664","35283","35586","0.8963684141635895","0.7021507024765015","1.2750940322875977","35427.620689655174","35283","35591","0.12449929041081462","0.05720984935760498","0.28004270792007446"
"114","35777","35614","35904","0.9067014080506784","0.6829579472541809","1.1542223691940308","35762.7","35596","35905","0.12317954450845718","0.04819240793585777","0.20087090134620667"
"115","36069.97435897436","35915","36214","0.8610232105621924","0.6725842952728271","1.073623776435852","36091.256410256414","35917","36216","0.10083654121710704","0.058886025100946426","0.20785747468471527"
"116","36386.04","36233","36520","0.8528300619125366","0.7007506489753723","1.0835705995559692","36371.05","36226","36527","0.10069238804280758","0.03314993530511856","0.203600212931633"
"117","36682.5","36542","36849","0.8979697680991628","0.563128650188446","1.1722731590270996","36704.666666666664","36554","36848","0.10436908497164647","0.03929528594017029","0.18520765006542206"
"118","36987.57575757576","36855","37163","0.8719510381872003","0.6177347302436829","1.1324440240859985","37039.2","36874","37159","0.10407895788550377","0.03857045993208885","0.18476174771785736"
